url_id,user_id,task_id,url
209,76,4,https://ritik1908.github.io/
210,76,6,https://ritik1908.github.io/
211,76,5,https://www.youtube.com/watch?v=bifmSFEHFJo
212,75,4,https://ritwik-ghosh153.github.io/index.html
213,75,5,https://www.youtube.com/watch?v=vesv2lXOe-U
214,75,6,
215,70,4,https://sites.google.com/view/sagarsarkar/blog?authuser=0
216,83,4,https://sites.google.com/view/sanaayousuf/contact?authuser=0
217,101,4,https://sankhasubhramondal.com/connect.html
218,85,4,https://sites.google.com/view/sarthak-info/contact?authuser=0
219,88,4,https://sites.google.com/view/satyakisportfolio/home
220,81,4,https://sites.google.com/view/shubhobrata-portfolio/blog?authuser=0
221,71,4,https://sites.google.com/view/soumyajyoti-portfolio/contact-info?authuser=0
222,96,4,https://sites.google.com/view/srijanichaudhury/blog?authuser=0
223,79,4,https://sites.google.com/view/srinjoy35/contact-details?authuser=0
224,72,4,https://sites.google.com/view/imsumand/contact-info?authuser=0
225,69,4,https://sites.google.com/view/sumantrasportfolio/blogs?authuser=0
226,67,4,https://sites.google.com/view/tathagatanath/blogs?authuser=0
227,68,4,https://sites.google.com/view/tuhins-portfolio/blogs?authuser=2
228,74,4,https://sites.google.com/view/wasif-portfolio/projects?authuser=0
229,93,4,https://sites.google.com/view/writuparnabanerjee/contact?authuser=0
230,87,5,
231,78,5,https://www.youtube.com/watch?v=_HEEXUiyCQE&feature=emb_title
232,86,5,https://www.youtube.com/watch?v=AAWtNVx5fIw&feature=youtu.be
233,82,5,https://www.youtube.com/watch?v=mfbP_8YmohI&feature=emb_title
234,83,5,https://www.youtube.com/watch?v=CdyCkHUNras&feature=emb_title
235,101,5,https://www.youtube.com/watch?v=Teh2fmeXM98&feature=emb_title
236,85,5,https://www.youtube.com/watch?v=sD7VQlthQoU&feature=emb_title
237,88,5,https://www.youtube.com/watch?v=9aU70mq5YK0&feature=emb_title
238,81,5,https://www.youtube.com/watch?v=gtJSB3w8cdE&feature=emb_title
239,96,5,https://www.youtube.com/watch?v=UYzhNOBdCp4&feature=emb_title
240,72,5,https://www.youtube.com/watch?v=UYzhNOBdCp4&feature=emb_title
241,69,5,https://www.youtube.com/watch?v=fYYMdqHidfo&feature=emb_title
242,67,5,https://www.youtube.com/watch?v=9TwVmcOgsPg&feature=youtu.be
243,68,5,https://www.youtube.com/watch?v=Y4c3G6JLotc&feature=emb_title
244,93,5,https://www.youtube.com/watch?v=vRQmX-_wPZA&feature=emb_title
245,87,6,https://sites.google.com/view/abanerjee/my-resume?authuser=0
246,78,6,https://sites.google.com/view/balakabiswas/resume
247,86,6,
248,82,6,https://sites.google.com/view/digantadas-info/resume?authuser=0
249,70,6,
250,83,6,https://sites.google.com/view/sanaayousuf/my-resume
251,101,6,https://sankhasubhramondal.com/resume.html
252,85,6,https://sites.google.com/view/sarthak-info/resume?authuser=0
253,88,6,https://sites.google.com/view/satyakisportfolio/resume?authuser=0
254,81,6,https://sites.google.com/view/shubhobrata-portfolio/my-resume?authuser=0
255,71,6,
256,96,6,https://sites.google.com/view/srijanichaudhury/resume
257,72,6,https://sites.google.com/view/imsumand/my-resume
258,69,6,https://sites.google.com/view/sumantrasportfolio/my-resume?authuser=0
259,68,6,https://sites.google.com/view/tuhins-portfolio/resume?authuser=2
260,74,6,https://sites.google.com/view/wasif-portfolio/resume?authuser=0
261,93,6,https://sites.google.com/view/writuparnabanerjee/resume
262,15,25,
263,6,25,
264,16,25,
265,12,25,
266,21,25,
267,5,25,
268,87,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NDg1Nzg3Mjk3ODla&t=g
269,78,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NDA4MTI2NzY4NDRa&t=g
270,105,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NTAwMzEzODEzMjBa&t=g
271,84,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NDg1Njk0NTYzNzla&t=g
272,102,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NTAwMzE3NDAzMjha&t=g
273,104,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NTAwMzI3NTY2MTla&t=g
274,80,26,https://classroom.google.com/g/tg/NTAwMjkyMjg2ODBa/NTExMzY0MDYxMTJa#u=NDg1NzE5OTIzNzFa&t=g
